rank_by_coverage,compound_name,broad_id,n_cell_lines_prism,n_rows_modeling,rmse_val,r2_val,rmse_test,r2_test,best_iteration,n_train,n_val,n_test,n_features_in,top_n_features
6,selinexor,BRD-K21361524-001-01-1,479,475,0.0737,0.0139,0.0561,0.0576,7,331,72,72,19193,2000
9,tivantinib,BRD-K33379087-001-07-5,479,475,0.0718,0.0586,0.0749,0.0275,63,331,72,72,19193,2000
1,dinaciclib,BRD-K13662825-001-07-5,480,476,0.0964,0.0654,0.0891,0.081,25,332,72,72,19193,2000
4,ganetespib,BRD-K38852836-001-02-1,479,475,0.0988,0.0704,0.0982,0.0483,34,331,72,72,19193,2000
10,barasertib,BRD-K31928526-001-02-1,479,475,0.1073,0.0393,0.1001,-0.0167,73,331,72,72,19193,2000
7,tepoxalin,BRD-K89714990-001-01-5,479,475,0.113,-0.0169,0.1109,0.004,0,331,72,72,19193,2000
5,narasin,BRD-A25608658-001-01-1,479,475,0.1179,-0.0122,0.1126,-0.0534,1,331,72,72,19193,2000
8,abemaciclib,BRD-K33622447-066-01-9,479,475,0.0905,0.0272,0.1291,-0.0279,6,331,72,72,19193,2000
2,disulfiram,BRD-K32744045-001-31-2,480,476,0.1291,0.1198,0.133,0.0657,106,332,72,72,19193,2000
3,talazoparib,BRD-K95142244-001-01-5,480,476,0.1494,0.2123,0.1535,0.2576,56,332,72,72,19193,2000
